Neighborhood,Count of CaseID
Mission,1190
South of Market,318
Chinatown,304
Outer Sunset,255
Mission Dolores,216
Lower Haight,175
Inner Richmond,147
Potrero Hill,143
Haight Ashbury,109
Panhandle,108
Civic Center,103
Tenderloin,97
Parkside,93
Hayes Valley,92
Inner Sunset,88
Duboce Triangle,85
Nob Hill,82
Financial District,81
Lower Nob Hill,79
Western Addition,70
Alamo Square,62
Pacific Heights,57
Marina,56
North Beach,55
Portola,54
Union Street,54
Downtown / Union Square,52
Castro,50
Outer Richmond,50
Bernal Heights,49
Cayuga,48
Buena Vista,47
Polk Gulch,46
Mission Terrace,45
Cathedral Hill,41
Golden Gate Park,39
Excelsior,38
Lone Mountain,37
Golden Gate Heights,36
Sunnyside,36
Lower Pacific Heights,34
Dolores Heights,32
Bayview,29
Mint Hill,27
Cole Valley,27
Eureka Valley,27
Laurel Heights / Jordan Park,25
Dogpatch,24
Forest Hill,23
St. Mary's Park,23
Northern Waterfront,22
West Portal,21
Cow Hollow,20
Parnassus Heights,19
Apparel City,19
Fisherman's Wharf,18
Corona Heights,17
Japantown,17
Glen Park,17
Aquatic Park / Ft. Mason,16
Russian Hill,15
Produce Market,15
South Beach,14
Central Waterfront,14
Visitacion Valley,13
Mt. Davidson Manor,12
Crocker Amazon,12
Stonestown,11
Merced Heights,11
Presidio Heights,10
Mission Bay,10
University Mound,9
Ashbury Heights,9
Noe Valley,8
Bret Harte,8
Merced Manor,7
Silver Terrace,7
Ingleside,7
Miraloma Park,7
Showplace Square,6
Ingleside Terraces,6
Little Hollywood,6
Candlestick Point SRA,6
Holly Park,6
Diamond Heights,5
Oceanview,5
Clarendon Heights,5
Sutro Heights,4
Westwood Park,4
Hunters Point,4
Outer Mission,4
Presidio Terrace,4
Lake Street,4
Laguna Honda,3
Anza Vista,3
Seacliff,3
Rincon Hill,3
Sherwood Forest,3
Forest Knolls,2
Peralta Heights,2
Telegraph Hill,2
Upper Market,2
Parkmerced,2
St. Francis Wood,1
Sunnydale,1
Midtown Terrace,1
Fairmount,1
Treasure Island,1
India Basin,1
Lincoln Park / Ft. Miley,1
Lakeshore,1
Presidio National Park,1
